Age in 5-year groups ,Region,Religion,Ethnicity,Education in single years,Number of household members,Educational attainment,Frequency of reading newspaper or magazine,Frequency of listening to radio,Frequency of watching television,Literacy,Ever participated in a literacy program,Use of internet,Frequency of using internet last month,Owns a mobile telephone,Wealth index factor score for urban/rural,Wealth index for urban/rural,Wealth index factor score combined (5 decimals)
2.0,1.0,5.0,1.0,6.0,7.0,3.0,0.0,2.0,2.0,0.0,,1.0,2.0,1.0,106026.0,5.0,39297.0
4.0,1.0,5.0,1.0,7.0,5.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,8224.0,3.0,-45950.0
4.0,1.0,5.0,1.0,7.0,5.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,8224.0,3.0,-45950.0
3.0,1.0,3.0,1.0,9.0,7.0,3.0,0.0,2.0,1.0,1.0,,1.0,1.0,1.0,-81154.0,2.0,-123855.0
3.0,1.0,5.0,1.0,4.0,8.0,1.0,0.0,2.0,1.0,0.0,,1.0,1.0,1.0,-27723.0,2.0,-77283.0
2.0,1.0,5.0,1.0,8.0,8.0,3.0,0.0,1.0,0.0,1.0,,2.0,0.0,1.0,-27723.0,2.0,-77283.0
2.0,1.0,5.0,1.0,8.0,8.0,3.0,0.0,1.0,0.0,1.0,,2.0,0.0,1.0,-27723.0,2.0,-77283.0
5.0,1.0,1.0,1.0,6.0,5.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,63680.0,4.0,2387.0
5.0,1.0,1.0,1.0,6.0,5.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,1.0,63680.0,4.0,2387.0
5.0,1.0,1.0,1.0,10.0,5.0,3.0,0.0,1.0,2.0,2.0,,0.0,0.0,0.0,4958.0,3.0,-48797.0
3.0,1.0,5.0,1.0,10.0,3.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,132790.0,5.0,62624.0
3.0,1.0,5.0,1.0,10.0,3.0,3.0,0.0,2.0,2.0,1.0,,0.0,0.0,1.0,132790.0,5.0,62624.0
3.0,1.0,5.0,6.0,12.0,4.0,4.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,38247.0,4.0,-19782.0
3.0,1.0,5.0,6.0,12.0,4.0,4.0,0.0,2.0,2.0,2.0,,0.0,0.0,1.0,38247.0,4.0,-19782.0
4.0,1.0,5.0,1.0,6.0,3.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,41436.0,4.0,-17002.0
4.0,1.0,5.0,1.0,6.0,3.0,2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,41436.0,4.0,-17002.0
3.0,1.0,5.0,1.0,6.0,4.0,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,0.0,61462.0,4.0,453.0
3.0,1.0,5.0,1.0,9.0,3.0,3.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,79140.0,4.0,15862.0
3.0,1.0,5.0,1.0,12.0,5.0,4.0,0.0,1.0,2.0,2.0,,0.0,0.0,1.0,89455.0,4.0,125812.0
6.0,1.0,5.0,1.0,12.0,7.0,4.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,89909.0,4.0,126170.0
5.0,1.0,5.0,1.0,9.0,3.0,3.0,0.0,2.0,2.0,2.0,,1.0,1.0,1.0,21163.0,3.0,71898.0
